,Radix Sort(Base 10),Radix Sort(Base 2^16),Merge Sort,Shell Sort,Shell Sort Knuth's Sequence,Quick Sort(Median of Three),Quick Sort(Median of Five),Quick Sort(Median of Seven),STL Sort
266000,88991,17999,121998,178040,154005,117998,166948,203995,192017,95039
267000,89950,18008,125006,170989,157008,117948,163049,205956,175996,89995
268000,98026,17999,124997,174996,158044,121948,191000,207994,174990,91995
269000,86996,17999,142994,171997,157998,117996,166997,207997,181996,89998
270000,86997,17998,128998,180039,163041,119001,171954,205038,208005,91015
271000,90953,18997,126995,175035,187009,123000,174950,213043,183049,92999
272000,96947,17998,125000,190995,162029,224998,168951,213999,177993,93992
273000,87997,18999,128000,171992,161995,138038,170983,211957,187989,91999
274000,86998,19000,128998,172046,171944,119035,171959,206999,185041,90957
275000,88998,19999,156049,195991,160962,134989,190032,215959,185997,100994
276000,88038,18003,129007,185041,165983,126003,169997,218994,261003,102037
277000,112000,17998,132999,210993,191979,132049,190998,240998,185945,96038
278000,94994,18006,154961,174034,167006,123989,172997,214008,193956,116998
279000,103959,24997,148037,202957,167999,134042,209948,221040,192019,92995
280000,88998,17997,136044,191999,175990,129007,176948,216993,190002,108024
281000,95960,18998,129998,188946,179657,126949,177998,241999,195996,100006
282000,94998,19000,139037,204965,187002,128994,181994,228992,194038,99007
283000,136945,20997,134037,183978,168995,129993,175997,250040,214511,106990
284000,108996,21002,137041,181988,178014,126996,178042,223011,187988,95964
285000,91957,19036,134045,206997,199035,140043,198954,286999,211961,104976
286000,131955,21034,166006,195950,168996,152999,227037,272996,231995,119990
287000,119028,21954,142015,238988,215968,156010,205009,225987,188006,105958
288000,113941,20040,176994,259971,193014,131996,203013,325025,249004,103992
289000,98992,21033,146012,312994,178998,131040,213953,218995,194995,100000
290000,135102,37998,170987,245965,225047,133007,193998,228991,285993,103991
291000,107033,21001,163997,241996,176989,132050,193951,287993,245033,108996
292000,94042,21956,143999,187995,164998,134041,206999,223993,215945,98997
293000,97043,18999,143001,199957,171049,134992,195605,292980,282001,113996
294000,94998,19999,148001,251975,184042,185932,206997,248000,204030,99958
295000,93999,21001,138000,295993,181996,137046,211989,256040,206000,101995
296000,102009,22002,141988,203990,176997,161994,205997,234995,218548,112971
297000,99993,22959,147990,251988,207986,161039,191956,250997,213993,108000
298000,112001,20998,165982,262996,203988,136995,191941,286986,258991,133992
299000,112986,33999,159982,237990,232983,146988,213988,269986,243996,121235
300000,121993,22997,189000,252000,240016,197972,260992,317001,308989,115000
301000,119994,24999,170000,245994,226998,224999,356996,359528,374995,147995
302000,151992,25998,193996,289178,269986,198987,276994,385001,311983,146994
303000,152992,28034,170966,231982,211956,174988,229998,282035,257947,119997
304000,109998,24993,166562,231957,237987,158990,220999,271991,247993,117998
305000,111994,28997,160036,221000,217985,152985,215041,286951,332039,118958
306000,119994,23993,166947,228997,212041,148993,193996,249047,296998,112992
307000,123008,20041,142992,200038,183004,143948,199040,252945,229996,103044
308000,106007,22999,148957,202045,185989,148000,190995,269998,210991,105001
309000,99002,21994,146966,206039,199011,164948,215042,258940,208515,104996
310000,101034,20964,148010,208569,180998,143997,198043,246033,204999,105991
311000,100975,20999,150997,229039,187948,138996,213040,266997,217988,106999
312000,100003,21043,148950,227998,194949,143997,276034,238994,214999,104957
313000,99997,22979,144999,210992,194039,150002,198001,248997,238946,107000
314000,104045,25007,146989,211986,207974,148959,201977,245040,236945,106032
315000,113040,21146,150054,231988,191998,150997,205998,252999,211038,108998
316000,102946,21001,174005,212030,196010,148947,203996,245996,228048,110945
317000,132006,22035,148960,212994,200996,143993,239997,270045,223000,116003
318000,103985,20999,147961,208006,200995,145959,207042,293946,229011,114001
319000,147994,21000,157000,209034,198009,176946,198995,254045,244993,112958
320000,103998,28992,152054,233988,186956,153050,220947,260028,249006,109942
321000,107986,21961,158995,219037,198977,143043,201997,247956,224039,109946
322000,142038,32991,190985,230043,196998,147002,212953,256035,224013,117949
323000,106010,21987,151994,211001,203000,179001,255010,285946,224999,111997
324000,125037,21999,153000,215956,199994,182933,207952,255037,244616,109959
325000,107034,25995,150997,212997,196042,147955,217051,256952,240969,114997
326000,105000,22040,161002,231956,215001,176029,252043,299988,266969,227997
327000,119000,21998,189001,277993,217998,191008,266022,293950,287995,145029
328000,130997,26957,219998,317020,216046,197042,252966,263970,250000,121000
